patch_slug,patch_name,source_url,source_kind,item_index,item_type,section_h2,section_h3,section_h4,text
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,116,li,,PATCH NOTES,LEGENDS,Long Hunt: Knocks extend Beast of the Hunt duration.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,117,li,,PATCH NOTES,LEGENDS,Taste of Blood: Gain 50 hp on knocks while Ultimate is active.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,118,p,,PATCH NOTES,LEGENDS,Catalyst
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,119,li,,PATCH NOTES,LEGENDS,Piercing Spikes Cooldown decreased to 20s (was 25s) Long Cast upgrade integrated into base Tactical
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,120,li,,PATCH NOTES,LEGENDS,Cooldown decreased to 20s (was 25s)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,121,li,,PATCH NOTES,LEGENDS,Long Cast upgrade integrated into base Tactical
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,122,li,,PATCH NOTES,LEGENDS,Dark Veil Dark Veil length increased to 45m (was 40m)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,123,li,,PATCH NOTES,LEGENDS,Dark Veil length increased to 45m (was 40m)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,124,li,,PATCH NOTES,LEGENDS,Upgrades Long Cast: removed Long Veil: moved to Level 2 NEW Ferro-Door: fully rebuild and reinforce missing doors with Passive.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,125,li,,PATCH NOTES,LEGENDS,Long Cast: removed
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,126,li,,PATCH NOTES,LEGENDS,Long Veil: moved to Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,127,li,,PATCH NOTES,LEGENDS,NEW Ferro-Door: fully rebuild and reinforce missing doors with Passive.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,128,p,,PATCH NOTES,LEGENDS,"Dev Note : Catalyst could use some love after her Ult nerfs, and Sister Spikes needed some competition. Hopefully making Tac charges more available with a baseline cooldown buff and creating a situationally strong alternative via passive upgrade helps strike a balance. Now that the Ult upgrades are decoupled, there are some difficult choices to make at both levels that we suspect are influenced by match flow. Will you hunker down with a friendly zone pull, or will you need an upgraded wall to help with rotations?"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,129,p,,PATCH NOTES,LEGENDS,Breakout: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,130,li,,PATCH NOTES,LEGENDS,Sister Spikes: Increase max number of active Spikes by one.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,131,li,,PATCH NOTES,LEGENDS,Long Cast: Increase Spike throw range by 40%.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,132,p,,PATCH NOTES,LEGENDS,Upheaval: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,133,li,,PATCH NOTES,LEGENDS,Long Veil: Increase Ultimate length by 15m.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,134,li,,PATCH NOTES,LEGENDS,Sister Spikes: Increase max number of active Spikes by one.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,135,p,,PATCH NOTES,LEGENDS,Breakout: Level 3
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,136,li,,PATCH NOTES,LEGENDS,Resilient Veil: Increase Ultimate lifetime by 5s
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,137,li,,PATCH NOTES,LEGENDS,Long Veil: Increase Ultimate length by 15m
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,138,p,,PATCH NOTES,LEGENDS,Upheaval: Level 3
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,139,li,,PATCH NOTES,LEGENDS,Ferro-Door: Fully rebuild and reinforce missing doors with Passive.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,140,li,,PATCH NOTES,LEGENDS,Resilient Veil: Increase Ultimate lifetime by 5s.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,141,p,,PATCH NOTES,LEGENDS,Caustic
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,142,li,,PATCH NOTES,LEGENDS,Gas damage and slow now stops immediately after Caustic's squad is eliminated
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,143,li,,PATCH NOTES,LEGENDS,"Gas damage ramps from 4 → 10 max (was 5 → uncapped), damage on knocked players down to flat 4 (was 5)"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,144,p,,PATCH NOTES,LEGENDS,Conduit
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,145,li,,PATCH NOTES,LEGENDS,"Radiant Transfer Can no longer target a Revenant while Forged Shadows is active When Revenant activates Forged Shadows, any temporary shield generation ends immediately. Revenant will keep any temporary shields generated before activating his Ultimate."
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,146,li,,PATCH NOTES,LEGENDS,Can no longer target a Revenant while Forged Shadows is active
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,147,li,,PATCH NOTES,LEGENDS,"When Revenant activates Forged Shadows, any temporary shield generation ends immediately. Revenant will keep any temporary shields generated before activating his Ultimate."
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,148,li,,PATCH NOTES,LEGENDS,Upgrades Battery Collection: removed NEW Battpack: can stack up to 3 Shield Batteries per inventory slot (doesn’t stack with Gold Backpack)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,149,li,,PATCH NOTES,LEGENDS,Battery Collection: removed
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,150,li,,PATCH NOTES,LEGENDS,NEW Battpack: can stack up to 3 Shield Batteries per inventory slot (doesn’t stack with Gold Backpack)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,151,p,,PATCH NOTES,LEGENDS,Dev Note : Conduit maintains a healthy pick rate and has cemented herself as a strong Support pick even after her last round of nerfs. We don’t want to hit her effectiveness as a Legend that pushes the tempo in combat. This is a targeted nerf to one of her synergies that felt more exploitable than we’d like.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,152,p,,PATCH NOTES,LEGENDS,Breakout: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,153,li,,PATCH NOTES,LEGENDS,Battery Collection: See Battery Count of death boxes.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,154,li,,PATCH NOTES,LEGENDS,Bigger Jam: Jammer damage radius increased by 20%.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,155,p,,PATCH NOTES,LEGENDS,Upheaval: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,156,li,,PATCH NOTES,LEGENDS,Battpack: Stack up to 3 batteries per inventory slot.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,157,li,,PATCH NOTES,LEGENDS,Bigger Jam: Jammer damage radius increased by 20%.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,158,p,,PATCH NOTES,LEGENDS,Crypto
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,159,li,,PATCH NOTES,LEGENDS,Neurolink Network Traffic upgrade now integrated into base kit Squadcount banners are now visible anytime the drone is in a deployed state
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,160,li,,PATCH NOTES,LEGENDS,Network Traffic upgrade now integrated into base kit
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,161,li,,PATCH NOTES,LEGENDS,Squadcount banners are now visible anytime the drone is in a deployed state
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,162,li,,PATCH NOTES,LEGENDS,Upgrades: Level 2 Tac & Ultimate Cooldowns: removed Network Expansion: moved to Level 2 NEW Quick Ping: improved drone handling (faster accel/decel)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,163,li,,PATCH NOTES,LEGENDS,Tac & Ultimate Cooldowns: removed
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,164,li,,PATCH NOTES,LEGENDS,Network Expansion: moved to Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,165,li,,PATCH NOTES,LEGENDS,NEW Quick Ping: improved drone handling (faster accel/decel)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,166,li,,PATCH NOTES,LEGENDS,"Upgrades: Level 3 NEW Satellite Imagery: drone scan persists for an additional 1.5s NEW Hackathon: cut the drone cooldown in half, gain a speed boost anytime he uses his Ult or the drone is destroyed"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,167,li,,PATCH NOTES,LEGENDS,NEW Satellite Imagery: drone scan persists for an additional 1.5s
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,168,li,,PATCH NOTES,LEGENDS,"NEW Hackathon: cut the drone cooldown in half, gain a speed boost anytime he uses his Ult or the drone is destroyed"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,169,p,,PATCH NOTES,LEGENDS,Dev Note : Crypto’s upgrades at the start of Season 20 left a lot to be desired. We hope this suite of changes resonates with a couple different playstyle types—particularly when it comes to players’ affinity to pilot the drone more actively vs. passively.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,170,p,,PATCH NOTES,LEGENDS,Breakout: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,171,li,,PATCH NOTES,LEGENDS,Tactical Cooldown+: Reduce Tactical cooldown by 10 seconds.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,172,li,,PATCH NOTES,LEGENDS,Ultimate Cooldown: Reduce Ultimate cooldown by 20%.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,173,p,,PATCH NOTES,LEGENDS,Upheaval: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,174,li,,PATCH NOTES,LEGENDS,Network Expansion: Passive & Ult range increased by 25%.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,175,li,,PATCH NOTES,LEGENDS,Quick Transmission: Improved drone handling.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,176,p,,PATCH NOTES,LEGENDS,Breakout: Level 3
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,177,li,,PATCH NOTES,LEGENDS,Network Expansion: Passive & Ult range increased by 25%.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,178,li,,PATCH NOTES,LEGENDS,Network Traffic: Deploying the drone calls out squads in the area.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,179,p,,PATCH NOTES,LEGENDS,Upheaval: Level 3
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,180,li,,PATCH NOTES,LEGENDS,Hackathon: Double drone recharge rate; gain speed boost when it explodes.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,181,li,,PATCH NOTES,LEGENDS,Satellite Imagery: Drone scan persists for 1.5 seconds.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,182,p,,PATCH NOTES,LEGENDS,Fuse
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,183,li,,PATCH NOTES,LEGENDS,Upgrades Big Bang: removed NEW Ring Master: gain access to Ring Consoles Scar Tissue: Simplified and buffed damage mitigation to remove lingering burn effects Take a flat 20 damage when crossing The Motherlode instead of 37 (50% of 75 hp) over time Wreckless: fixed explosive damage mitigation not being applied on continuous Knuckle Cluster hits (should only take about 32 damage from a full Knuckle Cluster now with Wreckless)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,184,li,,PATCH NOTES,LEGENDS,Big Bang: removed
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,185,li,,PATCH NOTES,LEGENDS,NEW Ring Master: gain access to Ring Consoles
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,186,li,,PATCH NOTES,LEGENDS,Scar Tissue: Simplified and buffed damage mitigation to remove lingering burn effects Take a flat 20 damage when crossing The Motherlode instead of 37 (50% of 75 hp) over time
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,187,li,,PATCH NOTES,LEGENDS,Simplified and buffed damage mitigation to remove lingering burn effects
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,188,li,,PATCH NOTES,LEGENDS,Take a flat 20 damage when crossing The Motherlode instead of 37 (50% of 75 hp) over time
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,189,li,,PATCH NOTES,LEGENDS,Wreckless: fixed explosive damage mitigation not being applied on continuous Knuckle Cluster hits (should only take about 32 damage from a full Knuckle Cluster now with Wreckless)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,190,p,,PATCH NOTES,LEGENDS,"Dev Note : Fuse is destruction and chaos. The goal of these changes, whether it be a new strategic-level upgrade or a simplification of a convoluted damage model, is to bring some method to the madness."
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,191,p,,PATCH NOTES,LEGENDS,Breakout: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,192,li,,PATCH NOTES,LEGENDS,Big Bang: See ordnance through walls & death boxes.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,193,li,,PATCH NOTES,LEGENDS,Scar Tissue: Take 50% damage and ignore slow effects of The Motherlode.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,194,p,,PATCH NOTES,LEGENDS,Upheaval: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,195,li,,PATCH NOTES,LEGENDS,Ring Master: Gain access to Ring Consoles.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,196,li,,PATCH NOTES,LEGENDS,Scar Tissue: Take 20 damage and ignore slow effects from The Motherlode.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,197,p,,PATCH NOTES,LEGENDS,Newcastle
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,198,li,,PATCH NOTES,LEGENDS,Mobile Shield: throw anim speed increased (~2.5x faster)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,199,li,,PATCH NOTES,LEGENDS,Castle Wall Will now destroy incoming projectiles headed towards the front of the wall while energized. It will not destroy projectiles fired from behind the wall nor bombardments from other Legend’s Ultimate projectiles. Castle Wall energized duration increased to 1m (was 30s)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,200,li,,PATCH NOTES,LEGENDS,Will now destroy incoming projectiles headed towards the front of the wall while energized. It will not destroy projectiles fired from behind the wall nor bombardments from other Legend’s Ultimate projectiles.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,201,li,,PATCH NOTES,LEGENDS,Castle Wall energized duration increased to 1m (was 30s)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,202,li,,PATCH NOTES,LEGENDS,Upgrade - Stronghold: increased energized duration to 3m (was 2.5m)
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,203,p,,PATCH NOTES,LEGENDS,"Dev Note : The Castle Wall’s in-game strength rarely matches the grandeur of its presentation. More often than not, the wall serves as a grenade beacon to surrounding threats knowing that Newcastle just jumped to an ally in distress. An Ultimate-level wall should not fail as much as it does, especially on a Support Legend that’s built around turning the tide when his squad starts losing the advantage. The wall now requires more calculated counterplay and makes the Stronghold upgrade a more compelling option. We were also finding the long wind-up when tossing his Mobile Shield left him pretty vulnerable trying to get back to his weapon, so we’ve sped up the animation to let him be more reactive with it."
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,204,p,,PATCH NOTES,LEGENDS,Octane
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,205,li,,PATCH NOTES,LEGENDS,"Upgrades Wreckless: removed Mad Hops moved to Level 2 Thick Skin: now Level 2 and 3, updated to take 5 less Stim damage to reflect that it can be selected twice (was -25%)"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,206,li,,PATCH NOTES,LEGENDS,Wreckless: removed
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,207,li,,PATCH NOTES,LEGENDS,Mad Hops moved to Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,208,li,,PATCH NOTES,LEGENDS,"Thick Skin: now Level 2 and 3, updated to take 5 less Stim damage to reflect that it can be selected twice (was -25%)"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,209,p,,PATCH NOTES,LEGENDS,"Dev Note : Octane has a “Plus Ultra'' tattoo, so we shouldn’t inhibit his ability to double down on his tac or ult. While Wreckless was thematically fun, Octane already has one of the best forms of explosive damage mitigation that’s less hidden: stim away."
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,210,p,,PATCH NOTES,LEGENDS,Breakout: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,211,li,,PATCH NOTES,LEGENDS,Thick Skin: -25% Stim damage
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,212,li,,PATCH NOTES,LEGENDS,Wreckless: -50% Explosive damage
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,213,p,,PATCH NOTES,LEGENDS,Upheaval: Level 2
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,214,li,,PATCH NOTES,LEGENDS,Mad Hops: Gain an extra Launch Pad charge.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,215,li,,PATCH NOTES,LEGENDS,Thick Skin: Take 5 less Stim damage.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,216,p,,PATCH NOTES,LEGENDS,Breakout: Level 3
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,217,li,,PATCH NOTES,LEGENDS,Mad Hops: Gain an extra Launch Pad charge.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,218,li,,PATCH NOTES,LEGENDS,Airborne Agility: Change directions with Launch Pad double-jump.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,219,p,,PATCH NOTES,LEGENDS,Upheaval: Level 3
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,220,li,,PATCH NOTES,LEGENDS,Airborne Agility: Change directions with Launch Pad double-jump.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,221,li,,PATCH NOTES,LEGENDS,Thick Skin: Take 5 less Stim damage.
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,222,p,,PATCH NOTES,LEGENDS,Wattson
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,223,li,,PATCH NOTES,LEGENDS,Upgrades Falling Stars: Pylons will stop spawning Arc Stars when her squad is eliminated Split Circuit: no longer reduces shield regen capacity
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,224,li,,PATCH NOTES,LEGENDS,Falling Stars: Pylons will stop spawning Arc Stars when her squad is eliminated
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,225,li,,PATCH NOTES,LEGENDS,Split Circuit: no longer reduces shield regen capacity
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,226,p,,PATCH NOTES,LEGENDS,Wraith
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,227,li,,PATCH NOTES,LEGENDS,Into the Void and Dimensional Rift: nearby enemies will be highlighted for players traveling through the Void
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,228,h3,,MAPS,,MAPS
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,229,li,,MAPS,,"Broken Moon shattered New POIs: Cliff Side, Experimental Labs, Solar Pods, Space Port, Quarantine Zone, Underpass Breaker Wharf updated New rotations to switch things up and keep squads on the move"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,230,li,,MAPS,,"New POIs: Cliff Side, Experimental Labs, Solar Pods, Space Port, Quarantine Zone, Underpass"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,231,li,,MAPS,,Breaker Wharf updated
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,232,li,,MAPS,,New rotations to switch things up and keep squads on the move
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,233,li,,MAPS,,"Added new possible Ring Console, Survey Beacon, and Crafter spawn locations to World’s Edge and Storm Point, and further evened out the probability of a prop spawning at any specific location World’s Edge Added possible Ring Console spawn locations to Mirage à Trois and Survey Camp Added possible Survey Beacon spawn locations to Survey Camp and The Geyser Storm Point Added possible Crafter spawn location to Command Center Added possible Survey Beacon spawn locations to The Wall, and the unnamed POIs Northeast of Checkpoint and at the edge of the map East of Storm Catcher"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,234,li,,MAPS,,World’s Edge Added possible Ring Console spawn locations to Mirage à Trois and Survey Camp Added possible Survey Beacon spawn locations to Survey Camp and The Geyser
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,235,li,,MAPS,,Added possible Ring Console spawn locations to Mirage à Trois and Survey Camp
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,236,li,,MAPS,,Added possible Survey Beacon spawn locations to Survey Camp and The Geyser
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,237,li,,MAPS,,"Storm Point Added possible Crafter spawn location to Command Center Added possible Survey Beacon spawn locations to The Wall, and the unnamed POIs Northeast of Checkpoint and at the edge of the map East of Storm Catcher"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,238,li,,MAPS,,Added possible Crafter spawn location to Command Center
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,239,li,,MAPS,,"Added possible Survey Beacon spawn locations to The Wall, and the unnamed POIs Northeast of Checkpoint and at the edge of the map East of Storm Catcher"
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,240,h3,,MODES,,MODES
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,241,p,,MODES,,Solos
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,242,li,,MODES,,Six week Duos takeover
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,243,li,,MODES,,50 players
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,244,li,,MODES,,Second Chance Respawn Automatically respawn once if you die in the first 4 rounds Second chance converted to EVO if unused by the round cutoff
upheaval,Upheaval,https://www.ea.com/games/apex-legends/apex-legends/news/upheaval-patch-notes,patch_notes,245,li,,MODES,,Automatically respawn once if you die in the first 4 rounds
